Deal ID,Deal Name,Amount,Deal Stage,Pipeline,Close Date,Contact ID,First Name,Last Name,Email,Phone Number,Lifecycle Stage,Company ID,Company Name,Company Domain,Company Industry,Company Annual Revenue,Activity ID,Activity Type,Activity Date,Activity Subject,Activity Body
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C1,Jamal,Jackson,jamal.jackson@quantumquotient.io,+1-238-741-9514,MQL,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A1,Meeting,06/18/2025 20:13,Meeting about Quantum Quotient - Solution 4,Discussed requirements and next steps for Quantum Quotient - Solution 4.
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C1,Jamal,Jackson,jamal.jackson@quantumquotient.io,+1-238-741-9514,MQL,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A2,Note,06/21/2025 20:13,Note about Quantum Quotient - Solution 4,Internal note: Quantum Quotient - Solution 4 prospect seems interested.
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C1,Jamal,Jackson,jamal.jackson@quantumquotient.io,+1-238-741-9514,MQL,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A3,Call,06/19/2025 20:13,Call about Quantum Quotient - Solution 4,Called Jamal Jackson regarding pricing for Quantum Quotient - Solution 4.
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C2,Parvez,Vargas,parvez.vargas@quantumquotient.io,+1-862-115-9163,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A4,Meeting,06/05/2025 20:13,Meeting about Quantum Quotient - Solution 4,Discussed requirements and next steps for Quantum Quotient - Solution 4.
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C2,Parvez,Vargas,parvez.vargas@quantumquotient.io,+1-862-115-9163,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A5,Note,06/08/2025 20:13,Note about Quantum Quotient - Solution 4,Internal note: Quantum Quotient - Solution 4 prospect seems interested.
D1,Quantum Quotient - Solution 4,35840,qualifiedtobuy,default,04/16/2025,C2,Parvez,Vargas,parvez.vargas@quantumquotient.io,+1-862-115-9163,Customer,CO17,Quantum Quotient,quantumquotient.io,FinTech,9017405,A6,Call,06/03/2025 20:13,Call about Quantum Quotient - Solution 4,Called Parvez Vargas regarding pricing for Quantum Quotient - Solution 4.
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C3,Maya,Zaidi,maya.zaidi@ionex.net,+1-339-127-4207,Customer,CO9,Ionex,ionex.net,Telecom,62866406,A7,Meeting,06/21/2025 20:13,Meeting about Ionex - Solution 5,Discussed requirements and next steps for Ionex - Solution 5.
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C3,Maya,Zaidi,maya.zaidi@ionex.net,+1-339-127-4207,Customer,CO9,Ionex,ionex.net,Telecom,62866406,A8,Note,06/24/2025 20:13,Note about Ionex - Solution 5,Internal note: Ionex - Solution 5 prospect seems interested.
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C3,Maya,Zaidi,maya.zaidi@ionex.net,+1-339-127-4207,Customer,CO9,Ionex,ionex.net,Telecom,62866406,A9,Call,06/11/2025 20:13,Call about Ionex - Solution 5,Called Maya Zaidi regarding pricing for Ionex - Solution 5.
D2,Ionex - Solution 5,6727,contractsent,default,04/04/2025,C4,Aisha,Patel,aisha.patel@ionex.net,+1-687-849-6929,MQL,CO9,Ionex,ionex.net,Telecom,62866406,A10,Meeting,06/15/2025 20:13,Meeting about Ionex - Solution 5,Discussed requirements and next steps for Ionex - Solution 5.
